Picture ID;Category;Description;WordNet_1;WordNet_2;WordNet_3;WordNet_4;WordNet_5;WordNet_6;WordNet_7;;;;;;;;;;;;;
Faces_001_h;Faces;children with a dog;%HumanChild=;%DomesticDog=;;;;;;;;;;;;;;;;;;
Faces_002_v;Faces;woman with a dog;%Woman=;%DomesticDog=;;;;;;;;;;;;;;;;;;
Faces_003_h;Faces;children;%HumanChild=;;;;;;;;;;;;;;;;;;;
Faces_004_h;Faces;baby crying;%HumanBaby=;%Weeping=;%Glove+;;;;;;;;;;;;;;;;;
Faces_005_h;Faces;baby in incubator;%HumanBaby=;%Device+;;;;;;;;;;;;;;;;;;
Faces_006_h;Faces;girl;%Girl=;;;;;;;;;;;;;;;;;;;
Faces_007_h;Faces;amputee boy;%DiseaseOrSyndrome+;%Man+;%HospitalOrganization=;;;;;;;;;;;;;;;;;
Faces_008_h;Faces;child crying;%HumanChild=;%Weeping=;%Snowing=;;;;;;;;;;;;;;;;;
Faces_009_h;Faces;hurting child;%Perception+;%HumanChild=;;;;;;;;;;;;;;;;;;
Faces_010_h;Faces;child with burns;%HumanChild=;%Injuring+;%HospitalOrganization=;;;;;;;;;;;;;;;;;
Faces_011_h;Faces;sick child;%DiseaseOrSyndrome+;%HumanChild=;;;;;;;;;;;;;;;;;;
Faces_012_v;Faces;sad girl;%Unhappiness+;%Girl=;;;;;;;;;;;;;;;;;;
Faces_013_h;Faces;child in a rescue sled;%HumanChild=;%SubjectiveAssessmentAttribute=;%LandVehicle+;;;;;;;;;;;;;;;;;
Faces_014_h;Faces;children;%HumanChild=;%City+;;;;;;;;;;;;;;;;;;
Faces_015_h;Faces;children;%HumanChild=;;;;;;;;;;;;;;;;;;;
Faces_016_h;Faces;armed children;%Weapon+;%HumanChild=;;;;;;;;;;;;;;;;;;
Faces_017_h;Faces;boy playing;%Man+;%RecreationOrExercise+;;;;;;;;;;;;;;;;;;
Faces_018_h;Faces;armed boys;%Weapon+;%Man+;;;;;;;;;;;;;;;;;;
Faces_019_h;Faces;baby with cleft lip;%HumanBaby=;%Slicing+;%Lip=;;;;;;;;;;;;;;;;;
Faces_020_h;Faces;child eating;%HumanChild=;%Eating=;;;;;;;;;;;;;;;;;;
Faces_021_h;Faces;baby crying;%HumanBaby=;%Vocalizing=;;;;;;;;;;;;;;;;;;
Faces_022_h;Faces;sad child;%Unhappiness+;%HumanChild=;;;;;;;;;;;;;;;;;;
Faces_023_h;Faces;child;%HumanChild=;%Eating=;%Fence=;;;;;;;;;;;;;;;;;
Faces_024_h;Faces;child;%HumanChild=;;;;;;;;;;;;;;;;;;;
Faces_025_h;Faces;baby in incubator;%HumanBaby=;%Device+;;;;;;;;;;;;;;;;;;
Faces_026_h;Faces;boy;%Man+;;;;;;;;;;;;;;;;;;;
Faces_027_h;Faces;boy;%Man+;;;;;;;;;;;;;;;;;;;
Faces_028_h;Faces;wounded woman and a child;%Injuring+;%HumanChild=;%Woman=;;;;;;;;;;;;;;;;;
Faces_029_h;Faces;baby in incubator;%HumanBaby=;%Device+;;;;;;;;;;;;;;;;;;
Faces_030_h;Faces;child;%HumanChild=;;;;;;;;;;;;;;;;;;;
Faces_031_v;Faces;amputee girl;%DiseaseOrSyndrome+;%Girl=;%Weeping=;;;;;;;;;;;;;;;;;
Faces_032_h;Faces;boy with a cigarette;%Man+;%CigarOrCigarette+;;;;;;;;;;;;;;;;;;
Faces_033_h;Faces;boys with crutches;%Man+;%Device+;;;;;;;;;;;;;;;;;;
Faces_034_h;Faces;sick child;%HumanChild=;%DiseaseOrSyndrome+;;;;;;;;;;;;;;;;;;
Faces_035_h;Faces;child eating;%HumanChild=;%Eating=;;;;;;;;;;;;;;;;;;
Faces_036_h;Faces;woman and a child;%Woman=;%HumanChild=;;;;;;;;;;;;;;;;;;
Faces_037_h;Faces;boy crying;%Man+;%Weeping=;;;;;;;;;;;;;;;;;;
Faces_038_h;Faces;boy with a gun;%Man+;%Gun=;;;;;;;;;;;;;;;;;;
Faces_039_h;Faces;sad girl;%Unhappiness+;%Girl=;;;;;;;;;;;;;;;;;;
Faces_040_h;Faces;child;%HumanChild=;;;;;;;;;;;;;;;;;;;
Faces_041_h;Faces;child in a hospital;%HumanChild=;%HospitalOrganization=;;;;;;;;;;;;;;;;;;
Faces_042_h;Faces;boy smiling;%Man+;%EmotionalState+;;;;;;;;;;;;;;;;;;
Faces_043_v;Faces;girl having a massage;%Girl=;%Process+;%Massaging=;;;;;;;;;;;;;;;;;
Faces_044_h;Faces;girl;%Girl=;;;;;;;;;;;;;;;;;;;
Faces_045_h;Faces;girl;%Girl=;;;;;;;;;;;;;;;;;;;
Faces_046_h;Faces;girls eating;%Girl=;%Eating=;;;;;;;;;;;;;;;;;;
Faces_047_h;Faces;boy;%Man+;;;;;;;;;;;;;;;;;;;
Faces_048_h;Faces;boys;%Man+;;;;;;;;;;;;;;;;;;;
Faces_049_h;Faces;girl;%Girl=;;;;;;;;;;;;;;;;;;;
Faces_050_h;Faces;children playing;%HumanChild=;%RecreationOrExercise+;;;;;;;;;;;;;;;;;;
Faces_051_h;Faces;boy on a bike;%Man+;%RecreationOrExercise+;;;;;;;;;;;;;;;;;;
Faces_052_h;Faces;girl sleeping;%Girl=;%Asleep=;;;;;;;;;;;;;;;;;;
Faces_053_h;Faces;children;%HumanChild=;;;;;;;;;;;;;;;;;;;
Faces_054_v;Faces;girl;%Girl=;;;;;;;;;;;;;;;;;;;
Faces_055_h;Faces;girl;%Girl=;;;;;;;;;;;;;;;;;;;
Faces_056_h;Faces;boy;%Man+;;;;;;;;;;;;;;;;;;;
Faces_057_h;Faces;boy;%Man+;;;;;;;;;;;;;;;;;;;
Faces_058_h;Faces;girl;%Girl=;;;;;;;;;;;;;;;;;;;
Faces_059_h;Faces;girl;%Girl=;;;;;;;;;;;;;;;;;;;
Faces_060_h;Faces;family;%FamilyGroup+;;;;;;;;;;;;;;;;;;;
Faces_061_h;Faces;baby sleeping;%HumanBaby=;%Asleep=;;;;;;;;;;;;;;;;;;
Faces_062_v;Faces;girl;%Girl=;;;;;;;;;;;;;;;;;;;
Faces_063_v;Faces;child eating;%HumanChild=;%Eating=;;;;;;;;;;;;;;;;;;
Faces_064_h;Faces;woman and girls;%Woman=;%Girl=;;;;;;;;;;;;;;;;;;
Faces_065_h;Faces;girl;%Woman=;;;;;;;;;;;;;;;;;;;
Faces_066_h;Faces;child playing;%HumanChild=;%RecreationOrExercise+;%VacuumCleaner=;;;;;;;;;;;;;;;;;
Faces_067_h;Faces;baby;%HumanBaby=;;;;;;;;;;;;;;;;;;;
Faces_068_h;Faces;children;%HumanChild=;%Position+;;;;;;;;;;;;;;;;;;
Faces_069_h;Faces;boy;%Man+;;;;;;;;;;;;;;;;;;;
Faces_070_v;Faces;child;%HumanChild=;;;;;;;;;;;;;;;;;;;
Faces_071_v;Faces;boy;%Man+;%FloweringPlant+;;;;;;;;;;;;;;;;;;
Faces_072_h;Faces;boy;%Man+;;;;;;;;;;;;;;;;;;;
Faces_073_v;Faces;child;%HumanChild=;;;;;;;;;;;;;;;;;;;
Faces_074_h;Faces;woman and a girl;%Woman=;%Girl=;;;;;;;;;;;;;;;;;;
Faces_075_v;Faces;girl;%Girl=;%Praying=;;;;;;;;;;;;;;;;;;
Faces_076_h;Faces;girl playing;%Girl=;%Balloon=;%RecreationOrExercise+;;;;;;;;;;;;;;;;;
Faces_077_v;Faces;girl drinking;%Girl=;%Drinking=;;;;;;;;;;;;;;;;;;
Faces_078_h;Faces;girl;%Girl=;;;;;;;;;;;;;;;;;;;
Faces_079_h;Faces;mother and child;%BiologicalAttribute+;%HumanChild=;%HumanBaby=;;;;;;;;;;;;;;;;;
Faces_080_h;Faces;woman and children;%Woman=;%HumanChild=;%Artifact+;;;;;;;;;;;;;;;;;
Faces_081_v;Faces;children smiling;%HumanChild=;%Smiling=;;;;;;;;;;;;;;;;;;
Faces_082_v;Faces;child playing;%HumanChild=;%RecreationOrExercise+;;;;;;;;;;;;;;;;;;
Faces_083_h;Faces;child;%HumanChild=;%Eating=;;;;;;;;;;;;;;;;;;
Faces_084_v;Faces;woman and a child;%Woman=;%HumanChild=;;;;;;;;;;;;;;;;;;
Faces_085_h;Faces;baby;%HumanBaby=;;;;;;;;;;;;;;;;;;;
Faces_086_v;Faces;baby;%HumanBaby=;;;;;;;;;;;;;;;;;;;
Faces_087_h;Faces;girl;%Girl=;;;;;;;;;;;;;;;;;;;
Faces_088_v;Faces;children playing;%Girl=;%RecreationOrExercise+;%Smiling=;;;;;;;;;;;;;;;;;
Faces_089_h;Faces;mother and child;%BiologicalAttribute+;%HumanChild=;;;;;;;;;;;;;;;;;;
Faces_090_v;Faces;children smiling;%HumanChild=;%Smiling=;;;;;;;;;;;;;;;;;;
Faces_091_v;Faces;parents with a child;%BiologicalAttribute+;%Girl=;;;;;;;;;;;;;;;;;;
Faces_092_h;Faces;family on the beach;%FamilyGroup+;%ShoreArea=;;;;;;;;;;;;;;;;;;
Faces_093_v;Faces;man and a girl;%Man=;%Girl=;%Man=;%RecreationOrExercise+;;;;;;;;;;;;;;;;
Faces_094_h;Faces;woman and a girl;%Woman=;%Girl=;%PreparedFood+;;;;;;;;;;;;;;;;;
Faces_095_h;Faces;girl eating;%Girl=;%Eating=;;;;;;;;;;;;;;;;;;
Faces_096_h;Faces;boy smiling;%Man+;%Smiling=;;;;;;;;;;;;;;;;;;
Faces_097_v;Faces;boy smiling;%Man+;%Smiling=;;;;;;;;;;;;;;;;;;
Faces_098_h;Faces;girl;%Girl=;%IceCream=;;;;;;;;;;;;;;;;;;
Faces_099_h;Faces;boy;%Man+;%RecreationOrExercise+;;;;;;;;;;;;;;;;;;
Faces_100_h;Faces;boys smiling;%Man+;%Smiling=;;;;;;;;;;;;;;;;;;
Faces_101_h;Faces;children;%HumanChild=;%Smiling=;;;;;;;;;;;;;;;;;;
Faces_102_h;Faces;boy;%Man+;%SocialRole+;;;;;;;;;;;;;;;;;;
Faces_103_h;Faces;men smiling;%Man=;%Smiling=;;;;;;;;;;;;;;;;;;
Faces_104_h;Faces;girl smiling;%Girl=;%Smiling=;;;;;;;;;;;;;;;;;;
Faces_105_h;Faces;boy playing;%Man+;%Game+;%Smiling=;;;;;;;;;;;;;;;;;
Faces_106_h;Faces;man and a girl smiling;%Man=;%Smiling=;%Girl=;;;;;;;;;;;;;;;;;
Faces_107_h;Faces;man and a boy smiling;%Man=;%Smiling=;%Man+;;;;;;;;;;;;;;;;;
Faces_108_h;Faces;children in swimming pool;%HumanChild=;%SwimmingPool=;%RecreationOrExercise+;;;;;;;;;;;;;;;;;
Faces_109_v;Faces;child smiling;%HumanChild=;%Smiling=;%Day+;;;;;;;;;;;;;;;;;
Faces_110_h;Faces;girls smiling;%Girl=;%Smiling=;;;;;;;;;;;;;;;;;;
Faces_111_h;Faces;girl;%Girl=;;;;;;;;;;;;;;;;;;;
Faces_112_h;Faces;girls;%Girl=;;;;;;;;;;;;;;;;;;;
Faces_113_h;Faces;boy playing;%Man+;%RecreationOrExercise+;%Driving=;;;;;;;;;;;;;;;;;
Faces_114_h;Faces;baby;%HumanBaby=;;;;;;;;;;;;;;;;;;;
Faces_115_h;Faces;boy smiling;%Man+;%Smiling=;;;;;;;;;;;;;;;;;;
Faces_116_h;Faces;girl smiling;%Girl=;%Smiling=;;;;;;;;;;;;;;;;;;
Faces_117_h;Faces;boys smiling;%Man+;%Smiling=;;;;;;;;;;;;;;;;;;
Faces_118_h;Faces;children playing;%Man+;%RecreationOrExercise+;;;;;;;;;;;;;;;;;;
Faces_119_v;Faces;girl;%Girl=;;;;;;;;;;;;;;;;;;;
Faces_120_h;Faces;boy smiling;%Man+;%Smiling=;;;;;;;;;;;;;;;;;;
Faces_121_h;Faces;mother and child;%BiologicalAttribute+;%Man+;;;;;;;;;;;;;;;;;;
Faces_122_h;Faces;girl playing;%Girl=;%RecreationOrExercise+;%Smiling=;;;;;;;;;;;;;;;;;
Faces_123_h;Faces;boy playing;%Man+;%RecreationOrExercise+;%Sand=;;;;;;;;;;;;;;;;;
Faces_124_h;Faces;girls playing;%Girl=;%RecreationOrExercise+;%Sand=;;;;;;;;;;;;;;;;;
Faces_125_h;Faces;girl;%Girl=;%Scooter=;;;;;;;;;;;;;;;;;;
Faces_126_h;Faces;girl;%Girl=;%FruitOrVegetable=;;;;;;;;;;;;;;;;;;
Faces_127_h;Faces;girls smiling;%Girl=;%Smiling=;;;;;;;;;;;;;;;;;;
Faces_128_h;Faces;children;%HumanChild=;;;;;;;;;;;;;;;;;;;
Faces_129_h;Faces;children;%HumanChild=;;;;;;;;;;;;;;;;;;;
Faces_130_h;Faces;woman and child;%Woman=;%HumanChild=;%BiologicalAttribute+;%HumanBaby=;;;;;;;;;;;;;;;;
Faces_131_v;Faces;boy smiling;%Man+;%Smiling=;;;;;;;;;;;;;;;;;;
Faces_132_h;Faces;boy on a slide;%Man+;%RecreationOrExerciseDevice+;;;;;;;;;;;;;;;;;;
Faces_133_h;Faces;boy in swimming pool;%Man+;%SwimmingPool=;;;;;;;;;;;;;;;;;;
Faces_134_h;Faces;children in swimming pool;%Man+;%SwimmingPool=;%Smiling=;;;;;;;;;;;;;;;;;
Faces_135_h;Faces;boy smiling;%Man+;%Smiling=;;;;;;;;;;;;;;;;;;
Faces_136_v;Faces;boys smiling;%Man+;%Smiling=;;;;;;;;;;;;;;;;;;
Faces_137_h;Faces;boy in swimming pool;%Man+;%SwimmingPool=;;;;;;;;;;;;;;;;;;
Faces_138_h;Faces;woman and child;%Woman=;%Man+;;;;;;;;;;;;;;;;;;
Faces_139_v;Faces;children smiling;%HumanChild=;%Smiling=;%Bicycle=;;;;;;;;;;;;;;;;;
Faces_140_h;Faces;grandparents and children;%BiologicalAttribute+;%HumanChild=;%HumanBaby=;;;;;;;;;;;;;;;;;
Faces_141_v;Faces;children playing;%HumanChild=;%RecreationOrExercise+;%Bathing+;;;;;;;;;;;;;;;;;
Faces_142_h;Faces;sad woman;%Woman=;%Woman=;;;;;;;;;;;;;;;;;;
Faces_143_v;Faces;mutilated face;%PathologicProcess+;%Face+;;;;;;;;;;;;;;;;;;
Faces_144_h;Faces;man;%Man=;;;;;;;;;;;;;;;;;;;
Faces_145_v;Faces;mutilated face;%PathologicProcess+;%Face+;;;;;;;;;;;;;;;;;;
Faces_146_h;Faces;sick man;%DiseaseOrSyndrome+;%Man=;;;;;;;;;;;;;;;;;;
Faces_147_v;Faces;mutilated face;%PathologicProcess+;%Face+;;;;;;;;;;;;;;;;;;
Faces_148_h;Faces;homeless men;%Human+;%Man=;%Smoking=;;;;;;;;;;;;;;;;;
Faces_149_v;Faces;mutilated face;%PathologicProcess+;%Face+;%Woman=;;;;;;;;;;;;;;;;;
Faces_150_h;Faces;sick man;%DiseaseOrSyndrome+;%Man=;;;;;;;;;;;;;;;;;;
Faces_151_v;Faces;mutilated face;%PathologicProcess+;%Face+;%Woman=;;;;;;;;;;;;;;;;;
Faces_152_h;Faces;mutilated face;%PathologicProcess+;%Face+;%Woman=;;;;;;;;;;;;;;;;;
Faces_153_v;Faces;mutilated face;%PathologicProcess+;%Face+;%Woman=;;;;;;;;;;;;;;;;;
Faces_154_h;Faces;boy;%Man+;;;;;;;;;;;;;;;;;;;
Faces_155_h;Faces;girl crying;%Girl=;%Weeping=;;;;;;;;;;;;;;;;;;
Faces_156_h;Faces;man;%Man=;;;;;;;;;;;;;;;;;;;
Faces_157_h;Faces;sad man;%Unhappiness+;%Man=;;;;;;;;;;;;;;;;;;
Faces_158_h;Faces;sad man;%Unhappiness+;%Man=;;;;;;;;;;;;;;;;;;
Faces_159_h;Faces;mutilated face;%PathologicProcess+;%Face+;;;;;;;;;;;;;;;;;;
Faces_160_v;Faces;woman;%Woman=;;;;;;;;;;;;;;;;;;;
Faces_161_h;Faces;woman smoking;%Woman=;%Smoking=;;;;;;;;;;;;;;;;;;
Faces_162_h;Faces;sad couple;%Unhappiness+;%Group+;;;;;;;;;;;;;;;;;;
Faces_163_h;Faces;men;%Man=;%Lecture=;;;;;;;;;;;;;;;;;;
Faces_164_h;Faces;crying woman and child;%Weeping=;%Woman=;%HumanChild=;;;;;;;;;;;;;;;;;
Faces_165_v;Faces;elderly man;%Man=;%SubjectiveAssessmentAttribute+;;;;;;;;;;;;;;;;;;
Faces_166_h;Faces;sad man;%Man=;%Unhappiness+;;;;;;;;;;;;;;;;;;
Faces_167_v;Faces;man;%Man=;%Interviewing=;;;;;;;;;;;;;;;;;;
Faces_168_h;Faces;man;%Man=;%FacialHair+;;;;;;;;;;;;;;;;;;
Faces_169_v;Faces;man smoking;%Man=;%Smoking=;;;;;;;;;;;;;;;;;;
Faces_170_h;Faces;wounded man;%Man=;%EyeGlass+;%Blood=;;;;;;;;;;;;;;;;;
Faces_171_v;Faces;elderly man;%Man=;%Human+;%FacialHair+;;;;;;;;;;;;;;;;;
Faces_172_h;Faces;elderly man;%Man=;%Human+;%Blanket+;;;;;;;;;;;;;;;;;
Faces_173_v;Faces;hurting man;%Vocalizing=;%Head=;;;;;;;;;;;;;;;;;;
Faces_174_h;Faces;mutilated face;%Face+;%Human+;%AnatomicalStructure+;;;;;;;;;;;;;;;;;
Faces_175_v;Faces;woman crying;%Woman=;%TearSubstance+;%Weeping=;;;;;;;;;;;;;;;;;
Faces_176_h;Faces;elderly woman;%Woman=;%Human+;;;;;;;;;;;;;;;;;;
Faces_177_v;Faces;masked man;%Man=;%PoliceOrganization+;%Mask=;;;;;;;;;;;;;;;;;
Faces_178_h;Faces;elderly woman;%Woman=;%Human+;;;;;;;;;;;;;;;;;;
Faces_179_v;Faces;woman;%Woman=;%EyeGlass+;;;;;;;;;;;;;;;;;;
Faces_180_h;Faces;woman;%Woman=;%ProtectiveEyewear+;;;;;;;;;;;;;;;;;;
Faces_181_v;Faces;elderly woman;%Woman=;%Human+;;;;;;;;;;;;;;;;;;
Faces_182_h;Faces;elderly man;%Man=;%Human+;;;;;;;;;;;;;;;;;;
Faces_183_v;Faces;man;%Man=;%FacialHair+;;;;;;;;;;;;;;;;;;
Faces_184_h;Faces;woman;%Woman=;%ProtectiveEyewear+;%Sofa=;;;;;;;;;;;;;;;;;
Faces_185_v;Faces;man;%Man=;%ClothingSuit+;;;;;;;;;;;;;;;;;;
Faces_186_h;Faces;woman;%Woman=;%EyeGlass+;;;;;;;;;;;;;;;;;;
Faces_187_v;Faces;man;%Man=;%ClothingSuit+;;;;;;;;;;;;;;;;;;
Faces_188_h;Faces;woman;%Woman=;%Hijab=;;;;;;;;;;;;;;;;;;
Faces_189_v;Faces;man;%Man=;%FacialHair+;;;;;;;;;;;;;;;;;;
Faces_190_h;Faces;man;%Man=;%FacialHair+;;;;;;;;;;;;;;;;;;
Faces_191_v;Faces;man;%Man=;%FacialHair+;;;;;;;;;;;;;;;;;;
Faces_192_h;Faces;man;%Man=;%EyeGlass+;;;;;;;;;;;;;;;;;;
Faces_193_v;Faces;priest;%Man=;%Collar+;;;;;;;;;;;;;;;;;;
Faces_194_h;Faces;man;%Man=;%EyeGlass+;;;;;;;;;;;;;;;;;;
Faces_195_v;Faces;elderly woman;%Woman=;%Human+;%Clothing+;;;;;;;;;;;;;;;;;
Faces_196_h;Faces;man;%Man=;%Clothing+;%Clothing+;;;;;;;;;;;;;;;;;
Faces_197_v;Faces;woman;%Woman=;%Device+;;;;;;;;;;;;;;;;;;
Faces_198_h;Faces;woman;%Woman=;%PlantLeaf=;;;;;;;;;;;;;;;;;;
Faces_199_v;Faces;elderly man;%Human+;%Man=;%EyeGlass+;;;;;;;;;;;;;;;;;
Faces_200_h;Faces;man;%Man=;%Hat+;%ProtectiveEyewear+;%Window=;%Looking+;;;;;;;;;;;;;;;
